,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,id,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,num_of_atoms,num_of_heavy_atoms,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_Cl_atoms,num_of_P_atoms,num_of_Br_atoms,num_of_F_atoms,tpsa,mol_w,num_valence_electrons,num_heteroatoms
0,-7.750772,9.748582,-14.203426,-1.377495,-9.699731,-12.9303255,12.365908,-7.7126074,-18.233532,-38.571606,32.102737,-47.15981,10.161257,-26.345547,-9.21486,17.069239,-10.772722,20.581915,-3.4632454,-18.187113,-37.137684,25.242819,-6.5344453,-15.657519,15.870711,30.118916,15.5461,-4.338442,32.443394,-6.127395,17.93481,-5.425216,33.46549,22.373562,-10.414484,-11.35037,5.4769177,9.955566,-18.21712,27.61012,4.3080807,-38.001858,35.188847,-0.19778553,-10.171024,-37.763763,-23.40084,42.769966,33.952778,33.72896,-10.148446,-0.71515554,-37.134163,10.611938,15.946714,1.4021354,-11.432948,-40.230892,15.159803,25.604256,13.994848,-8.264789,5.8885036,10.222974,-44.208233,-2.6264565,-2.2959886,27.717102,-28.406433,16.97862,-6.2979517,-5.4806557,27.10219,20.12676,-3.4067383,8.998097,26.928701,9.0639715,-25.410048,-13.521195,17.298122,-8.43153,-14.82955,0.24013352,-8.303104,15.386136,-5.5181146,37.650143,-1.5943038,-12.772305,44.935722,0.6526693,-37.552685,-36.291016,1.1676731,-37.755325,18.299313,17.6814,-11.724619,-12.729753,TRAIN_0000,26.01,50.68,3.259,400.495,5,2,8,3.259,117.37,52,28,20,3,4,0,0,0,0,89.13000000000001,400.1569116280007,148,8
1,-6.5735707,7.4348545,-11.460146,-1.5259795,-8.310482,-10.890034,11.4578085,-4.6334925,-13.580668,-27.892117,26.82499,-38.825024,8.998013,-21.881979,-6.449102,16.109026,-10.290198,14.89727,-1.6826198,-16.044445,-30.738289,21.90428,-6.326072,-16.306221,11.942419,25.847523,14.200246,-6.2030764,24.370285,-4.5466356,10.811747,-7.306331,26.54854,17.30629,-6.3710384,-4.6872873,2.7732303,7.668728,-11.805714,19.815794,3.8162045,-27.137747,25.96363,-2.2719932,-8.552553,-29.786232,-16.345482,33.39373,25.94155,25.777685,-9.818745,-4.4694667,-30.798548,11.594238,10.648702,-0.21847984,-9.557415,-32.45236,15.111237,20.466263,12.521499,-7.158045,2.7713637,10.0146885,-39.254707,-3.0120292,-0.96664417,19.896551,-22.526955,11.990456,-3.986345,-2.190493,20.60139,18.68478,-1.3992994,7.027122,22.684841,6.1714816,-19.612465,-9.676646,15.859754,-10.103419,-13.357766,1.1439412,-2.8927593,15.163423,-4.693428,27.55908,-0.5789637,-11.776414,35.466774,1.8587644,-31.830078,-26.631165,-1.1421974,-27.542366,15.864086,13.726908,-8.435093,-9.568843,TRAIN_0001,29.27,50.59,2.169,301.407,2,1,2,2.172,73.47,40,21,16,1,3,0,0,0,0,45.230000000000004,301.1248832280005,110,5
2,-10.683137,5.8303976,-11.069391,-3.4148288,-6.560957,-9.298305,8.780709,-4.6813464,-10.262877,-32.077114,28.79512,-37.130444,6.2079716,-22.839312,-4.37844,16.524685,-11.518039,16.766499,-8.909928,-16.43552,-32.11635,19.08893,-5.229737,-15.199251,13.546742,28.769478,13.743735,-5.886655,24.65298,-2.757693,9.345983,-6.371773,25.769363,16.376879,-5.835516,-8.768591,0.920055,3.5811934,-15.05139,22.110662,5.1648884,-29.060472,25.383326,-3.4474397,-9.298649,-33.05241,-15.14125,31.298685,31.91694,20.85537,-6.679051,-3.7913213,-27.32931,12.145012,10.037511,0.019918367,-8.41592,-35.00861,18.039907,21.17335,17.796267,-8.857372,-0.04925485,11.758564,-37.60846,-0.086035654,-3.067089,19.474884,-20.998331,13.315334,-2.0801272,-4.4928074,20.028515,17.008533,-1.5454485,5.019515,19.811419,4.058729,-21.942987,-13.607167,18.177868,-5.281249,-13.845946,-0.6123183,-9.025711,18.252165,-2.9125352,28.637243,-3.0225258,-6.4815326,34.631977,1.5436037,-33.36909,-28.612867,-3.3099282,-29.190342,14.827865,8.708584,-6.369066,-6.953493,TRAIN_0002,5.586,80.892,1.593,297.358,5,0,3,1.585,62.45,41,22,15,0,7,0,0,0,0,62.45,297.17019360800055,114,7
3,-14.558862,10.8124,-20.606983,-2.734609,-10.965141,-15.642014,19.031548,-7.6672506,-19.158596,-51.60078,48.93022,-65.14822,14.158088,-35.862877,-11.577179,32.568474,-18.338491,27.704273,-9.476297,-29.477728,-53.34525,36.0946,-11.249793,-27.481436,23.894339,45.148514,25.9349,-7.920477,44.384388,-4.199258,16.088764,-15.920135,44.203278,26.656414,-8.840774,-7.2762647,-0.7909077,7.650366,-26.126095,38.465935,4.323758,-48.56858,43.09869,-2.5471401,-16.895813,-53.8518,-27.784594,55.66862,48.782467,45.295177,-16.699135,-8.833008,-52.706112,20.960321,17.9829,-0.6312656,-12.287977,-59.21094,25.60738,35.630997,32.336643,-15.58922,0.81968546,21.335176,-69.86956,-0.6556535,-3.0330222,35.893738,-37.49819,25.035894,-9.463533,-1.1475661,31.824873,31.001083,-5.92457,12.7334385,37.48391,5.7343926,-33.658897,-19.7359,32.207577,-9.616627,-22.08734,1.3351281,-5.072542,26.140915,-5.770135,43.696842,-6.8413405,-12.72976,64.20538,-2.3970249,-57.656055,-45.30819,-4.209648,-49.398125,25.171545,16.865675,-10.798843,-16.24654,TRAIN_0003,5.71,2.0,4.771,494.652,6,0,5,3.475,92.6,69,35,26,2,6,0,0,0,0,84.22000000000001,494.24639532800103,186,9
4,-9.529969,6.915693,-10.521806,-0.4830332,-5.9918346,-7.861314,8.6630745,-3.7782023,-9.902786,-24.638819,23.126253,-32.17166,9.452524,-18.493017,-8.621065,14.654285,-9.173055,15.469613,-2.5213523,-16.29702,-27.11279,16.921246,-7.838971,-13.653844,11.977333,19.352852,11.974276,-3.9052749,22.620459,-2.4896548,8.730181,-4.0601234,21.938686,13.759002,-5.482267,-7.335646,-0.51205295,6.0831027,-12.085382,19.3511,3.6425667,-25.52293,24.214565,-0.07579087,-8.68814,-24.952412,-17.188309,26.970243,23.219143,24.598251,-8.708115,-4.647738,-26.145763,10.316832,10.059675,1.2582264,-8.077985,-30.444187,14.514086,17.54751,11.555565,-6.3548245,4.3685017,9.21351,-33.721844,-1.5977973,-3.4315484,20.755983,-19.242107,14.587185,-3.8852613,-1.2510341,17.072111,15.550298,-3.8730845,5.1764264,17.760584,3.5532334,-18.304073,-9.946698,16.054464,-4.7079244,-8.953214,2.3944511,-4.8732786,13.152317,-0.075428426,26.6285,-1.8035796,-6.7320824,31.571795,1.2255805,-27.911808,-23.952185,-0.3972516,-28.350117,14.424902,12.33906,-6.5994363,-7.409063,TRAIN_0004,93.27,99.99,2.335,268.31,3,0,1,2.337,42.43,36,20,16,2,2,0,0,0,0,42.43000000000001,268.12117775200034,102,4
5,-10.309534,9.807023,-13.086937,-1.7011969,-11.369354,-15.159023,9.511098,-10.871672,-10.360627,-35.473583,34.49917,-42.832756,12.215517,-26.343864,-12.053472,20.830374,-11.007915,18.36085,-0.85371137,-21.78439,-40.57703,28.243273,-11.553577,-15.236184,18.196444,27.94273,18.982313,-5.740439,33.045,-5.011341,15.309485,-3.568342,34.02429,21.989983,-9.883454,-7.353823,2.6401114,7.079996,-18.210762,28.445902,6.5129137,-34.337334,31.43621,-2.7249875,-12.70191,-37.841248,-21.486176,39.717567,38.286434,36.316338,-11.015251,-1.8253819,-32.906254,20.301786,14.732892,2.7379684,-12.446074,-38.089954,19.8524,23.972818,14.790836,-8.821918,2.5298328,13.89861,-49.610363,-5.6423883,-0.67731214,29.087961,-26.478832,20.824533,-8.405692,-5.434556,24.457483,20.15961,-6.182664,4.0882936,25.983585,5.9236183,-24.777826,-15.312135,16.163847,-6.178753,-15.869418,0.95301783,-11.106419,22.788023,-8.470352,39.747284,-7.702866,-11.333025,45.388245,2.9623284,-37.664707,-37.099934,1.1318569,-40.0195,19.67108,18.28284,-12.7133665,-11.100438,TRAIN_0005,27.64,66.63,1.335,419.422,4,1,7,1.335,78.95,53,30,21,4,3,0,0,0,2,80.64000000000001,419.1656626560007,160,9
6,-6.6150575,6.7977185,-13.469581,2.0789437,-5.4034853,-12.417998,9.61778,-5.670354,-12.577839,-29.88373,25.694279,-34.801544,13.64424,-24.47046,-12.62273,15.524179,-10.295096,15.165423,-0.98775876,-17.234838,-28.833206,23.438734,-9.466804,-11.36062,11.861379,18.228594,11.504944,-3.4281545,22.349773,-4.0924277,16.238394,-4.032662,27.48272,16.288662,-12.933786,-8.783147,4.255998,8.177485,-15.188249,24.10906,-1.3559898,-30.895023,26.450314,2.2052352,-9.54328,-28.101257,-24.829676,34.5292,29.330757,27.74094,-14.508769,-1.8094505,-28.153255,10.830267,11.890587,1.1839662,-11.777052,-29.758345,13.660272,19.88251,15.676579,-8.533457,4.444187,10.975507,-41.7675,0.048754856,-3.6031332,26.980003,-24.63699,19.825117,-7.5278087,-2.855025,20.430605,14.801866,-6.2331142,5.992038,21.853638,3.6259956,-20.243046,-10.198888,17.947714,-5.932465,-8.345076,1.1801624,-5.8438854,13.52208,-3.4183123,33.721714,-2.5760703,-15.087198,40.12003,-2.0360777,-29.347324,-31.638348,-1.7304032,-31.543863,15.226846,17.467056,-13.696834,-11.480658,TRAIN_0006,82.107,69.25,1.954,547.707,7,4,9,0.464,144.42,43,25,16,6,2,0,0,0,0,124.01,366.08855729600043,134,9
7,-9.133989,6.1594944,-11.632466,-1.039541,-6.1885433,-4.118112,6.854245,-4.128656,-11.6417265,-23.890327,21.28087,-30.306372,3.2889755,-13.262273,-3.6658785,13.02389,-4.6304026,14.902874,-5.2033763,-10.159057,-23.692242,12.691792,-5.740554,-11.224583,7.6279726,15.691344,13.276496,-2.1594703,15.565749,-2.5537987,7.0979924,-3.7887208,19.851072,12.003058,-5.6308465,-8.36296,1.9226418,6.525543,-13.313106,13.385379,7.440873,-24.136454,16.839605,-5.675572,-5.237,-25.365114,-13.451356,22.07258,18.503014,17.863398,-6.9017806,-2.6906366,-22.895924,7.526075,8.437523,3.961719,-6.916291,-21.765213,15.463806,15.902804,5.990515,-5.2351427,5.9070926,5.3643694,-23.018375,-1.5230305,-2.5692465,20.342375,-12.869368,10.87776,0.3887998,-2.4752276,16.664717,13.242583,-4.749696,2.8716955,12.9842205,6.567631,-14.4019375,-11.552026,14.983416,-4.429009,-7.288505,-2.269022,-5.790568,12.918493,-1.1286259,23.665485,1.2701538,-4.613511,26.541855,-0.12123715,-22.580494,-20.065483,1.754806,-26.191835,9.9871,12.663908,-6.039901,-8.137854,TRAIN_0007,2.673,25.121,2.967,293.343,3,0,2,2.967,68.18,32,21,16,1,3,0,0,0,0,39.94,293.0622829720003,102,5
8,-9.598257,7.0445433,-12.328143,-0.8648734,-6.309759,-8.120792,11.525081,-3.5984342,-12.134582,-28.902855,25.108322,-35.525024,7.4759808,-20.075193,-5.9082184,18.217909,-10.722813,16.953527,-5.4315906,-14.8017,-31.104256,17.628658,-4.598957,-14.734987,14.90612,24.551968,15.195988,-2.9069774,25.402216,-0.7814534,10.095895,-4.0452857,25.697065,15.074579,-6.1926484,-6.8237557,-0.5920342,3.2375968,-13.152824,19.302423,4.659826,-27.777426,24.235117,-2.2825959,-10.737828,-29.22175,-13.979125,30.093805,27.591717,25.186638,-8.163915,-4.6394706,-28.244846,10.8392315,10.861846,-0.92926335,-7.120187,-31.36418,15.608273,21.693577,14.172703,-7.214469,3.4122684,10.592911,-36.666218,-3.351104,-3.1841564,19.9601,-23.138826,13.0523205,-2.3944492,-0.78367335,18.86104,16.834597,-2.3663955,7.439243,19.94271,4.4012303,-19.954542,-11.649418,15.510116,-3.7875116,-12.366288,0.45863372,-4.8166456,12.575059,-4.5084925,25.68533,-2.4641807,-6.7335954,34.06972,-0.36736593,-29.721127,-25.564072,-0.7221383,-24.862925,14.070726,10.710076,-5.8785825,-9.155215,TRAIN_0008,74.519,71.471,-0.946,347.366,7,2,3,-0.723,104.89,38,19,15,1,3,0,0,0,0,30.29,257.152812228,100,4
9,-12.366349,9.361084,-16.231997,-1.646446,-9.8054905,-13.573572,17.85427,-5.4447575,-14.339424,-40.69108,34.85831,-51.72839,10.863735,-29.675873,-10.280595,21.126253,-15.105193,19.55369,-4.309788,-24.129635,-40.328083,26.285816,-7.512378,-23.040997,19.169865,37.962677,19.912294,-6.802573,37.498413,-4.6099644,12.601254,-10.082628,33.93387,20.001379,-5.9051757,-5.650028,0.79076564,6.368321,-18.598196,28.26578,3.0247111,-40.349403,34.481487,-1.678185,-13.863183,-41.32058,-24.283026,45.146744,39.14212,34.7542,-13.229545,-5.3425927,-39.212982,17.890644,12.069636,-3.253292,-11.511142,-47.887577,22.42495,28.276266,21.85359,-14.347219,-1.7771176,15.887206,-55.645374,-2.3645108,-2.9941988,26.506376,-27.783192,16.441301,-4.889407,-0.5335262,24.390505,27.057325,-1.9334221,8.663983,28.316126,3.4695282,-33.089767,-12.592933,19.07267,-11.48521,-20.233118,3.5213895,-7.030343,22.03661,-7.3045235,34.691727,-6.473876,-13.959991,46.385105,0.707052,-45.955196,-39.471325,-5.682583,-39.03709,23.574541,10.869835,-12.764851,-10.053176,TRAIN_0009,73.417,76.291,1.259,357.453,5,2,5,-0.373,90.04,53,26,18,1,7,0,0,0,0,90.04,357.2277084840008,140,8
